"javascript","2274748"
"python","1801169"
"java","1800386"
"c#","1498897"
"php","1415192"
"android","1349103"
"html","1091924"
"jquery","1017729"
"c++","738412"
"css","733029"
"ios","661153"
"mysql","632285"
"sql","605416"
"r","419864"
"node.js","402748"
"arrays","373131"
"c","365091"
"asp.net","364648"
"reactjs","333319"
"ruby-on-rails","328327"
"json","326092"
".net","311263"
"sql-server","309358"
"swift","302626"
"python-3.x","295212"
"objective-c","291896"
"django","275514"
"angular","262452"
"angularjs","262201"
"excel","251814"
"regex","244154"
"iphone","221188"
"ruby","221097"
"ajax","217274"
"pandas","216492"
"linux","208547"
"xml","204248"
"asp.net-mvc","195688"
"vba","191990"
"spring","188915"
"database","181261"
"laravel","181208"
"wordpress","179808"
"string","168318"
"wpf","162890"
"typescript","160364"
"mongodb","153178"
"windows","152398"
"xcode","151675"
"postgresql","143225"
"bash","138305"
"oracle","136969"
"git","136538"
"vb.net","135169"
"multithreading","131323"
"amazon-web-services","123645"
"eclipse","122720"
"list","121066"
"firebase","117618"
"spring-boot","110847"
"algorithm","109939"
"azure","109200"
"macos","108968"
"forms","107835"
"image","107013"
"scala","105760"
"react-native","105730"
"visual-studio","104724"
"docker","103475"
"dataframe","103449"
"flutter","101964"
"twitter-bootstrap","101340"
"function","97244"
"powershell","96181"
"python-2.7","94804"
"performance","94669"
"numpy","94233"
"api","93751"
"winforms","93483"
"matlab","91565"
"selenium","90110"
"apache","89782"
"sqlite","89391"
"hibernate","88605"
"entity-framework","87416"
"facebook","85412"
"shell","84357"
"rest","84228"
"vue.js","84218"
"loops","84108"
"linq","82122"
"android-studio","80861"
"maven","80687"
"qt","80262"
"express","79966"
"csv","79535"
"swing","78802"
"unit-testing","76887"
"file","75839"
"class","72548"
"tensorflow","72046"
"apache-spark","70654"
".htaccess","70598"
"symfony","69712"
"sorting","69308"
"date","69298"
"codeigniter","68529"
"tsql","68446"
"google-chrome","67961"
"perl","65949"
"dictionary","65593"
"opencv","64361"
"google-maps","64343"
"uitableview","63513"
"asp.net-core","63473"
"validation","63205"
"kotlin","63030"
"sockets","63029"
"http","62929"
"datetime","62570"
"for-loop","61249"
"cordova","61238"
"matplotlib","60765"
"web-services","60142"
"unity3d","59720"
"xaml","58789"
"object","58233"
"android-layout","57806"
"dart","57591"
"oop","56997"
"email","56693"
"go","56294"
"spring-mvc","56214"
"ruby-on-rails-3","56046"
"ubuntu","54888"
"c++11","54385"
"ms-access","54112"
"if-statement","54097"
"sql-server-2008","53810"
"parsing","53740"
"security","53306"
"user-interface","52672"
"elasticsearch","51925"
"jsp","51893"
"pointers","51845"
"authentication","51744"
"listview","51500"
"batch-file","50975"
"templates","50644"
"wcf","50476"
"variables","49812"
"delphi","48569"
"nginx","48387"
"debugging","48113"
"machine-learning","47457"
"haskell","47329"
"flask","47245"
"ssl","47051"
"pdf","46983"
"visual-studio-2010","46905"
"xamarin","46871"
"jpa","46827"
"github","46387"
"google-app-engine","46104"
"asynchronous","45874"
"jenkins","45729"
"unix","45625"
"selenium-webdriver","44805"
"android-fragments","44702"
"generics","44634"
"testing","44358"
"gradle","44293"
"web","44070"
"ggplot2","43896"
"hadoop","43440"
"ionic-framework","43400"
"session","43344"
"amazon-s3","42479"
"asp.net-mvc-4","42322"
"google-apps-script","41919"
"recursion","41799"
"kubernetes","41771"
"tkinter","41671"
"animation","41657"
"tomcat","41540"
"actionscript-3","41319"
"url","41233"
"heroku","41144"
"curl","40927"
"npm","40614"
"mongoose","39813"
"math","39589"
"jquery-ui","39572"
"exception","39464"
"inheritance","39378"
"cocoa","39356"
"svg","39346"
"join","39217"
"web-scraping","39066"
"internet-explorer","39046"
"winapi","38951"
"image-processing","38675"
"dom","38569"
"asp.net-mvc-3","38556"
"assembly","38550"
"post","38501"
"intellij-idea","38448"
"google-sheets","38327"
"redirect","38305"
"visual-studio-code","38133"
"magento","37930"
"laravel-5","37897"
"d3.js","37822"
"webpack","37774"
"button","37552"
"firefox","37534"
"gcc","37462"
"select","37333"
"matrix","37332"
"logging","37256"
"django-models","36894"
"keras","36869"
"ruby-on-rails-4","36668"
"iis","36580"
"opengl","36556"
"xslt","36256"
"firebase-realtime-database","36154"
"events","36115"
"xpath","35861"
"caching","35828"
"javafx","35803"
"networking","35762"
".net-core","35592"
"jsf","35497"
"asp.net-web-api","35446"
"search","35292"
"flash","35156"
"stored-procedures","34966"
"optimization","34930"
"ipad","34734"
"facebook-graph-api","34613"
"cocoa-touch","34587"
"encryption","34403"
"audio","33956"
"canvas","33928"
"plot","33480"
"memory","33367"
"google-cloud-platform","32998"
"servlets","32829"
"arraylist","32680"
"cookies","32566"
"video","32392"
"vector","32392"
"multidimensional-array","32375"
"amazon-ec2","32366"
"model-view-controller","32143"
"mod-rewrite","32073"
"random","31868"
"input","31445"
"cakephp","31428"
"razor","31379"
"jdbc","31357"
"serialization","31206"
"iframe","31074"
"redux","30870"
"xamarin.forms","30860"
"indexing","30584"
"google-cloud-firestore","30447"
"android-intent","30317"
"design-patterns","30157"
"data-structures","30037"
"awk","29965"
"visual-c++","29904"
"grails","29579"
"text","29367"
"jakarta-ee","29235"
"woocommerce","29084"
"meteor","28885"
"android-activity","28459"
"mobile","28442"
"checkbox","28408"
"methods","28245"
"core-data","28139"
"ecmascript-6","28031"
"mvvm","28025"
"activerecord","27931"
"pyspark","27779"
"installation","27457"
"sharepoint","27451"
"groovy","27409"
"silverlight","27351"
"struct","27259"
"filter","27214"
"time","27120"
"android-recyclerview","27091"
"vim","27017"
"ssh","26994"
"lambda","26968"
"soap","26940"
"beautifulsoup","26654"
"bootstrap-4","26644"
"file-upload","26612"
"svn","26538"
"gridview","26414"
"dplyr","26413"
"sed","26283"
"google-chrome-extension","26232"
"boost","26130"
"graph","26033"
"memory-management","26027"
"plsql","25867"
"dynamic","25788"
"c#-4.0","25681"
"layout","25619"
"mysqli","25593"
"junit","25452"
"apache-kafka","25281"
"replace","25252"
"spring-security","25126"
"django-rest-framework","25123"
"browser","25047"
"google-maps-api-3","24730"
"dll","24653"
"extjs","24581"
"types","24559"
"excel-formula","24519"
"charts","24423"
"reporting-services","24403"
"websocket","24390"
"twitter","24296"
"scikit-learn","24258"
"cmd","24251"
"plugins","24219"
"rust","24095"
"apache-flex","24076"
"highcharts","24006"
"import","23990"
"sass","23819"
"ember.js","23785"
"netbeans","23783"
"dependency-injection","23735"
"unicode","23731"
"reflection","23690"
"foreach","23570"
"pdo","23497"
"shiny","23455"
"eloquent","23427"
"error-handling","23406"
"https","23351"
"database-design","23324"
"aws-lambda","23253"
"ffmpeg","23159"
"vuejs2","23099"
"while-loop","23079"
"visual-studio-2012","23052"
"deployment","23021"
"makefile","22831"
"jquery-mobile","22749"
"encoding","22734"
"cmake","22733"
"group-by","22678"
"data-binding","22620"
"hash","22603"
"collections","22584"
"server","22506"
"azure-devops","22400"
"docker-compose","22290"
"service","22273"
"deep-learning","22121"
"command-line","22111"
"merge","21930"
"printing","21793"
"java-8","21694"
"tfs","21519"
"html-table","21475"
"tcp","21416"
"redis","21407"
"twitter-bootstrap-3","21404"
"web-applications","21401"
"terminal","21370"
"async-await","21330"
"split","21245"
"webview","21202"
"utf-8","21140"
"neo4j","21001"
"swiftui","20909"
"uwp","20889"
"drop-down-menu","20848"
"gwt","20775"
"build","20693"
"datatable","20682"
"backbone.js","20659"
"view","20497"
"file-io","20488"
"concurrency","20459"
"scroll","20455"
"zend-framework","20441"
"hive","20400"
"promise","20329"
"module","20171"
"paypal","20145"
"enums","20144"
"knockout.js","20114"
"oauth-2.0","20111"
"automation","20049"
"syntax","20033"
"drupal","19972"
"react-redux","19961"
"solr","19908"
"parameters","19899"
"google-analytics","19891"
"ssis","19785"
"colors","19749"
"windows-phone-7","19745"
"outlook","19689"
"parse-platform","19612"
"visual-studio-2015","19610"
"django-views","19607"
"oracle11g","19597"
"datagridview","19595"
"fonts","19581"
"graphics","19437"
"constructor","19425"
"count","19311"
"sqlalchemy","19244"
"parallel-processing","19119"
"socket.io","19089"
"lua","19086"
"memory-leaks","19060"
"primefaces","18990"
"oauth","18979"
"pip","18935"
"visual-studio-2013","18834"
"ms-word","18768"
"scipy","18669"
"timer","18591"
"interface","18569"
"uiview","18531"
"apache-spark-sql","18448"
"cassandra","18430"
"neural-network","18427"
"flexbox","18426"
"sql-server-2005","18420"
"vbscript","18416"
"swift3","18414"
"ansible","18375"
"casting","18348"
"proxy","18341"
"google-bigquery","18336"
"windows-phone-8","18300"
"login","18247"
"compiler-errors","18211"
"three.js","18166"
"push-notification","18080"
"jar","18061"
"datatables","18026"
"directory","18021"
"orm","18008"
"django-forms","17900"
"arduino","17895"
"python-requests","17860"
"spring-data-jpa","17841"
"linked-list","17796"
"google-api","17790"
"triggers","17788"
"jupyter-notebook","17707"
"rspec","17659"
"hyperlink","17646"
"model","17564"
"firebase-authentication","17526"
"rxjs","17523"
"xamarin.android","17485"
"angularjs-directive","17474"
"nhibernate","17452"
"combobox","17394"
"axios","17372"
"functional-programming","17350"
"path","17319"
"routes","17246"
"download","17238"
"emacs","17228"
"pygame","17188"
"properties","17152"
"process","17128"
"playframework","17108"
"clojure","17028"
"jestjs","16957"
"callback","16934"
"configuration","16894"
"django-templates","16892"
"react-hooks","16879"
"nlp","16820"
"doctrine-orm","16811"
"sql-server-2012","16734"
"yii","16698"
"safari","16649"
"io","16607"
"scripting","16527"
"react-router","16521"
"cron","16496"
"scope","16488"
"angular-material","16455"
"version-control","16449"
"pagination","16414"
"dns","16384"
"binding","16374"
"kendo-ui","16348"
"url-rewriting","16305"
"responsive-design","16269"
"jmeter","16199"
"uiviewcontroller","16138"
"bluetooth","16121"
"permissions","16108"
"compilation","16061"
"linux-kernel","16010"
"scrapy","15994"
"autocomplete","15975"
"f#","15967"
"get","15952"
"architecture","15936"
"reference","15919"
"datepicker","15897"
"jsf-2","15854"
"graphql","15853"
"3d","15843"
"xamarin.ios","15829"
"raspberry-pi","15762"
"phpmyadmin","15703"
"visual-studio-2008","15702"
"controller","15677"
"nullpointerexception","15610"
"request","15578"
"android-listview","15560"
"asp.net-mvc-5","15541"
"static","15535"
"tree","15492"
"bitmap","15403"
"pyqt","15394"
"datagrid","15357"
"webforms","15323"
"menu","15290"
"ant","15255"
"entity-framework-core","15236"
"youtube","15203"
"notifications","15192"
"grep","15190"
"joomla","15128"
"x86","15121"
"transactions","15029"
"yii2","14948"
"null","14861"
"jboss","14847"
"jackson","14821"
"stl","14813"
"active-directory","14803"
"ios7","14773"
"linq-to-sql","14744"
"devise","14727"
"android-asynctask","14536"
"nested","14517"
"laravel-4","14490"
"character-encoding","14469"
"openssl","14433"
"stream","14386"
"discord","14359"
"mongodb-query","14345"
"exception-handling","14328"
"statistics","14271"
"material-ui","14178"
"background","14124"
"pycharm","14100"
"routing","14082"
"msbuild","14046"
"pytorch","14032"
"sdk","13989"
"hashmap","13975"
"opengl-es","13911"
"camera","13906"
"uicollectionview","13899"
"sas","13843"
"ftp","13832"
"google-cloud-functions","13776"
"coldfusion","13771"
"textview","13765"
"insert","13729"
"floating-point","13685"
"upload","13666"
"onclick","13658"
"mocking","13655"
"tabs","13648"
"xsd","13641"
"binary","13588"
"computer-vision","13521"
"sum","13462"
"css-selectors","13425"
"azure-active-directory","13405"
"cryptography","13389"
"cuda","13243"
"iterator","13209"
"android-ndk","13172"
"xml-parsing","13167"
"navigation","13158"
"google-drive-api","13116"
"jwt","13103"
"duplicates","13101"
"jquery-plugins","13100"
"sprite-kit","13050"
"localization","12990"
"calendar","12974"
"anaconda","12966"
"console","12954"
"electron","12913"
"linker","12884"
"gitlab","12848"
"header","12771"
"jasmine","12653"
"time-series","12623"
"visual-studio-2017","12610"
"drag-and-drop","12582"
"macros","12551"
"powerbi","12541"
"rabbitmq","12503"
"json.net","12484"
"gulp","12483"
"crash","12471"
"discord.js","12426"
"libgdx","12412"
"mfc","12409"
"formatting","12397"
"prolog","12388"
"operating-system","12380"
"uiscrollview","12365"
"segmentation-fault","12282"
"multiprocessing","12271"
"textbox","12264"
"annotations","12259"
"crystal-reports","12194"
"type-conversion","12188"
"continuous-integration","12185"
"char","12154"
"android-gradle-plugin","12147"
"leaflet","12139"
"ionic2","12135"
"timestamp","12093"
"nosql","12073"
"attributes","12019"
"centos","12002"
"mapreduce","11987"
"pyqt5","11973"
"data.table","11918"
"asp.net-core-mvc","11918"
